,partition_1,partition_0,avg_polarity,avg_followers,avg_friends,avg_retweet_count,word_freq,count,create_date
31,Cambridge,Universities,0.21495186615186654,4860.847490347491,1509.8256113256116,17.133204633204635,"[('come', 256), ('hours', 245), ('old', 234), ('early', 231), ('15/7', 231), ('girl', 231), ('2yrs', 231), ('any1', 231), ('gets', 230), ('offers…', 227), ('us', 126), ('research', 114), ('|', 107), ('city', 104), ('cambridge', 102), ('spot', 101), ('beautiful', 89), ('new', 88), ('sites', 84), ('famous', 81), ('landmarks', 81), ('george', 81), (""braun's"", 81), ('1574?', 81), ('looking', 80), ('job', 71), ('time', 71), ('see', 70), ('great', 63), ('assistant', 59)]",1554,2020-07-15
32,Canada,Politics,0.14199714285714335,6677.182857142857,1594.119285714286,148.43071428571432,"[('join', 192), ('u.s.', 174), ('states', 172), ('must', 172), ('ending', 170), ('united', 169), ('extraditions', 169), ('new', 72), ('canada', 70), ('many', 65), ('help', 57), ('july', 51), ('us', 50), ('via', 46), ('people', 44), ('trudeau', 37), ('12', 36), ('looking', 36), ('day', 35), ('city', 34), ('canadian', 34), ('ever', 34), ('cases', 32), ('police', 31), ('like', 31), ('!', 30), ('need', 30), ('right', 29), ('one', 29), ('r', 28)]",1400,2020-07-15
33,Canberra,Australia,0.023112643678160863,3138.7298850574707,2226.3965517241377,22.99425287356322,"[('time', 65), ('public', 62), ('aps', 61), ('servants', 61), ('scott', 60), ('morrison', 60), ('2020', 60), ('tally', 60), ('job', 60), ('cuts', 60), ('–', 60), ('130.', 60), ('centre', 60), ('the…', 59), ('cold', 12), ('morning', 10), ('years', 10), ('5', 10), ('think', 10), ('remembering', 10), ('amazing', 9), ('since', 9), ('encounter', 9), ('day.', 9), ('bitterly', 9), ('night', 9), ('canberra', 7), ('good', 6), ('light', 6), ('like', 6)]",174,2020-07-15
34,Cayman Islands,Politics,0.2146333333333334,2215.6666666666665,664.6923076923077,0.6923076923076923,"[('cayman', 9), ('15', 7), ('last', 6), ('provide', 6), ('july,', 5), ('203', 5), ('confirmed', 5), ('cases', 5), ('available', 5), ('grand', 5), ('2', 4), ('remain', 4), ('active', 4), ('yet', 4), ('considered', 4), ('guidance', 4), ('287', 3), ('covid-19', 3), ('tests', 3), ('carried', 3), ('since', 3), ('negative.', 3), ('4pm', 3), ('google', 3), ('contact', 3), ('public', 3), ('minimum', 3), ('standards', 3), ('applies', 3), ('today!', 3)]",39,2020-07-15
35,CharlotteHornets,NBA,-0.1835,903.2916666666665,1292.9583333333333,0.0,"[('hornets', 24), ('nba', 24), ('get', 14), ('purgatory?', 14), ('check', 10), ('alonzo', 10), ('mourning', 10), ('charlotte', 10), ('basketball', 10), ('rookie', 10), ('1992', 10), ('topps', 10), ('stadium', 10), ('club', 10), ('via', 10)]",24,2020-07-15
36,Chelsea,EPL,0.047821741977733895,3022.0707269155205,1126.044531761624,36.94695481335953,"[('chelsea', 602), ('reality', 297), ('day:', 198), ('signed', 144), ('giroud', 128), ('team', 125), ('🚨mercato🚨', 114), ('olivier', 94), ('much', 93), ('kai', 90), ('wants', 70), ('2003', 70), ('glen', 70), ('johnson', 70), ('west', 70), ('ham.', 70), ('liverpool', 67), ('sign', 65), ('league', 64), ('can’t', 62), ('please', 62), ('stop', 60), ('premier', 58), ('next', 58), ('isn’t', 57), ('deal', 56), ('new', 55), ('players', 55), ('cup', 55), ('games', 55)]",1527,2020-07-15
37,Chess,Chess,0.19966047180667407,3615.680092059839,1983.771001150748,31.95684695051784,"[('right', 459), ('2', 457), ('russian', 429), ('match', 427), ('square', 427), ('gms', 426), ('♟️', 425), ('1924', 425), ('hosted', 425), ('live-scale', 425), ('palace', 425), ('pyotr', 425), ('romanovskyi', 424), ('ily…', 421), ('chess', 231), ('⬜', 181), ('⬛', 181), ('play', 176), ('⬛⬜', 154), ('♜', 152), ('♘', 140), ('⬜⬛', 139), ('white', 137), ('♗', 122), ('vs', 119), ('♚', 116), ('♖', 114), ('♝', 110), ('chessbot', 107), ('move', 101)]",1738,2020-07-15
38,ChicagoBulls,NBA,0.26140236530880473,2010.8699080157687,1287.0617608409987,0.8843626806833115,"[('bulls', 360), ('chicago', 342), ('/', 182), ('year', 140), ('nba', 129), ('win', 126), ('championship', 126), ('listen', 126), ('black', 100), ('ebay', 91), ('auction', 91), ('young', 84), ('😤', 84), ('via', 74), ('•', 68), ('game', 58), ('popular', 57), ('chicagobulls:', 56), ('jordan', 54), ('look', 54), ('1', 50), ('hat', 47), ('scottie', 46), ('link', 46), ('check', 42), ('next', 42), ('series', 42), ('ron', 42), ('harper', 42), ('u2063', 42)]",761,2020-07-15
39,China,Politics,-0.1288694999999999,42373.55,1915.5585714285714,209.585,"[('us', 142), ('chinese', 132), ('china', 127), ('used', 106), ('prez', 96), ('almost', 95), ('always', 93), ('got', 93), ('now,', 92), ('threatening,', 91), ('intimidating,', 91), ('coercing', 91), ('others,', 91), ('wanted.', 91), ('people', 89), ('state', 79), ('would', 79), ('world', 68), ('president', 64), ('uk', 56), ('every', 55), ('upon', 51), ('trump', 49), ('sanctions', 48), ('also', 48), ('call', 46), ('media', 44), ('networks', 44), ('watch', 43), ('hong', 43)]",1400,2020-07-15
40,Christian,Religion,0.17657585959885425,11127.275071633238,9072.038681948425,39.2714899713467,"[('god', 126), ('one', 88), ('⭐️', 86), ('books', 85), ('|', 78), ('book', 77), ('first', 70), ('jesus', 69), ('new', 67), ('man', 65), ('us', 63), ('christian', 59), ('time', 54), ('get', 52), (""god's"", 50), ('would', 50), ('schools', 48), ('read', 46), ('happen', 45), ('serve', 45), ('love', 44), ('godly', 44), ('books,', 43), ('launch', 43), ('awakens', 43), ('vampire.', 43), ('cursed?', 43), ('leadership', 41), ('check', 41), ('removing', 40)]",1396,2020-07-15
